int,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,km2,m,frac,frac,MCM,MCM,1-100,1-100,1-100,1-100,1-100,frac,frac,frac,Frac,frac,frac,fact,fact
WatProvID,RES_INIT,GWT_INIT,GWT_RECH,INFORMAL,RES_FLO,RES_MAX,GWT_MAX,ENV_FRAC,DOM_CONS_F,DOM_REU,IRR_REU,IND_CONS_F,IND_REU,ENV_USE,AREA_WP,HP_ELV,HP_FAC,HP_EFF,RES_extra,DESAL,DOM_PRI,IND_PRI,IRR_PRI,ENV_PRI,DWN_PRI,IRR_CONS_F,URB_DEM,IND_DEM,IRR_AREA,Ext_User,DWN_DEM,Calibration,IRR_COR
45,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,181594,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0
46,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,210297,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.556734
47,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,408052,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.1273265
48,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,147918,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.1
49,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,9742.35,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
50,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,5109.73,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
51,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,83229.8,50,1,0.75,0,-999,99,99,99,99,99,0.71,1,1,1,0,0,1.02,0
52,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,22483.4,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
53,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,40898.6,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.15202625
54,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,414233,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.1
55,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,132039,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.1
56,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,57571.6,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.1
57,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,89358.8,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.1570275
58,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,78771.6,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.213666
59,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,407875,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,1.058865
60,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,84097,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.70591725
61,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,129250,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,3.253425
62,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,72951.5,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.187489
63,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,57415,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.35798125
64,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,19251.2,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0
65,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,345650,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.37158275
